claim_id,source_id,topic,claim,source_section,usable_for,review_status
CLM-001,SRC-001,soil_moisture,"Met Éireann models Irish soil moisture separately for well-drained, moderately drained and poorly drained soils.","Soil Moisture Deficit Model","drainage contrast scenarios",reviewed
CLM-002,SRC-001,soil_moisture,"A negative Soil Moisture Deficit represents a water surplus, while saturation is represented at an SMD of minus 10 millimetres.","Soil Moisture Deficits","saturation and water-surplus scenarios",reviewed
CLM-003,SRC-002,soil_compaction,"As soil becomes wetter, it becomes structurally weaker and more vulnerable to compaction from machinery or animal traffic.","Soil moisture","machinery and grazing risk scenarios",reviewed
CLM-004,SRC-002,machinery_load,"Machine weight and axle load are important factors affecting the risk of soil structural damage.","Factors affecting soil compaction","light-versus-heavy machinery pairs",reviewed
CLM-005,SRC-002,subsurface_moisture,"A drying surface after a wet period can conceal wetter soil deeper in the profile.","Soil moisture","surface-versus-subsurface condition pairs",reviewed
CLM-006,SRC-003,grazing_assessment,"A farmer should walk a paddock to determine whether it is fit for grazing and should remove cows if poaching begins.","Difficult Spring Grazing Conditions","poaching and direct-inspection scenarios",reviewed
CLM-007,SRC-003,paddock_selection,"During difficult spring grazing conditions, very dry paddocks with multiple access points and relatively low grass covers are preferred.","Difficult Spring Grazing Conditions","paddock-selection scenarios",reviewed
CLM-008,SRC-004,wet_weather_management,"Teagasc recommends twelve-hour allocations and back fencing as management techniques during challenging wet-weather grazing conditions.","Wet weather management recommendations","managed-versus-unrestricted grazing pairs",reviewed
CLM-009,SRC-004,on_off_grazing,"On heavier farms, on-off grazing can be used to minimise damage during wet conditions.","Wet weather management recommendations","restricted-access scenarios",reviewed
CLM-010,SRC-005,grazing_infrastructure,"Suitably sized and shaped paddocks, multiple access points, adequate roadways and drinking-water provision allow greater flexibility in grazing allocations and on-off grazing.","Grazing infrastructure","access-point and infrastructure scenarios",reviewed
CLM-011,SRC-005,heavy_soils,"Fundamental dairy-management practices on moderately or poorly drained soils are similar to those on free-draining soils, but require adjustment during prolonged wet weather and poor grazing conditions.","Introduction","heavy-soil management scenarios",reviewed
CLM-012,SRC-006,drainage_design,"Land-drainage design must vary according to the soil type and the conditions of the individual site.","Soil Drainage","local-variation and drainage-context scenarios",reviewed
CLM-013,SRC-001,soil_moisture_deficit,"Soil Moisture Deficit is the amount of rainfall required to return soil moisture to field capacity.","Soil Moisture Deficits","SMD interpretation scenarios",reviewed
CLM-014,SRC-001,drainage_dynamics,"Within the Met Éireann model, moderately drained soils may saturate on wet days but return to field capacity on the next dry day, while poorly drained soils can retain surplus water for several days because drainage is slower.","Soil Moisture Deficit Model and Drainage","moderate-versus-poor drainage pairs",reviewed
CLM-015,SRC-002,ground_pressure,"The ground pressure exerted by machinery can be reduced by decreasing the wheel load or increasing the tyre contact area.","Reducing machinery ground pressure","machinery-configuration scenarios",reviewed
CLM-016,SRC-003,housing_decision,"When direct inspection finds that no paddock is suitable because conditions are waterlogged or otherwise unfit, cows may need to remain housed.","Difficult Spring Grazing Conditions","no-suitable-paddock scenarios",reviewed
CLM-017,SRC-005,paddock_management,"Targeted land drainage may form part of the solution on heavy-soil dairy farms, but it must be combined with appropriate paddock-level management practices.","Key lessons","drainage-is-not-enough scenarios",reviewed
CLM-018,SRC-005,infrastructure_risk,"Several individually minor grazing-infrastructure problems can combine to create significant difficulties during poor weather and difficult grazing conditions.","Farm audits","compound-infrastructure-risk scenarios",reviewed
CLM-019,SRC-006,topography,"Topographic position influences runoff and soil drainage; low-lying and flat areas commonly receive more water, while poor drainage can also occur on slopes where permeability or seepage restricts water movement.","Soil Drainage","slope and landscape-position scenarios",reviewed
CLM-020,SRC-006,site_specificity,"Every drainage challenge is site-specific and should be investigated and diagnosed rather than addressed using one universal drainage solution.","Soil Drainage","missing-context and one-size-fits-all scenarios",reviewed
CLM-021,SRC-006,load_bearing_capacity,"Lowering the water table can promote deeper rooting and improve soil load-bearing capacity, but the appropriate drainage method depends on the soil type.","Soil Drainage","drainage-benefit and solution-selection scenarios",reviewed
CLM-022,SRC-007,irish_dairy_system,"Irish dairy production systems are primarily based on converting grazed pasture into milk.","Why is this research important?","project framing and Irish dairy context",reviewed
CLM-023,SRC-007,climate_context,"Ireland's temperate maritime climate supports the growth and utilisation of relatively high levels of pasture.","Why is this research important?","country-specific climate scenarios",reviewed
CLM-024,SRC-007,grazed_grass,"Grazed grass is identified as the lowest-cost feed for Irish dairy production systems.","Why is this research important?","project framing and grazing-priority scenarios",reviewed
CLM-025,SRC-008,compaction_effects,"Soil compaction increases soil bulk density, reduces pore space and restricts root-zone development.","Introduction","soil-damage explanation scenarios",reviewed
CLM-026,SRC-008,soil_moisture,"The water content of soil at the time of trafficking affects the amount of compaction, making soil moisture an important indicator of vulnerability.","Introduction","soil-moisture and trafficability scenarios",reviewed
CLM-027,SRC-008,wet_soil_traffic,"Heavy machinery travelling on wet soil creates a greater risk of soil structural damage.","When is it suitable to travel with heavy machinery on soils?","wet-versus-dry machinery pairs",reviewed
CLM-028,SRC-008,rainfall_timing,"Field traffic close to a rainfall event increases compaction risk, and the time required for soil to dry varies with rainfall intensity and season.","Tips to avoid compaction and Key messages","recent-rainfall and seasonal timing scenarios",reviewed
